time;rightWheelsPower;leftWheelsPower;drumPosition;latchPosition;collectorPosition;launchMotorPower
0.014182584;0.0;0.0;0;CLOSED;STOP;0.0
0.053688547;0.0;0.0;0;CLOSED;STOP;0.0
0.064419548;0.0;0.0;0;CLOSED;STOP;0.0
0.077408924;0.0;0.0;0;CLOSED;STOP;0.0
0.090236717;0.0;0.0;0;CLOSED;STOP;0.0
0.103138302;0.0;0.0;0;CLOSED;STOP;0.0
0.113849761;0.0;0.0;0;CLOSED;STOP;0.0
0.12436697;0.0;0.0;0;CLOSED;STOP;0.0
0.13525168;0.0;0.0;0;CLOSED;STOP;0.0
0.145885848;0.0;0.0;0;CLOSED;STOP;0.0
0.160163807;0.0;0.0;0;CLOSED;STOP;0.0
0.178778851;0.0;0.0;0;CLOSED;STOP;0.0
0.191193644;0.0;0.0;0;CLOSED;STOP;0.0
0.212829188;0.0;0.0;0;CLOSED;STOP;0.0
0.224709939;0.0;0.0;0;CLOSED;STOP;0.0
